Filial;Hist;Nome Filial;Endereço;Bairro;Cidade;UF;Logomarca;Telefone;IP Banco 12
3232;1466;BAURU 8;AVENIDA ORLANDO RANIERI, 1015 , CEP - 17047001;PRQ RES CAMELIAS;BAURU;SP;DROGASIL; 32453776          ;10.245.216.12
3233;1467;JP MANGABEIRA 1;RUA JOSEFA TAVEIRA, 1350 , CEP - 58055000;MANGABEIRA;JOAO PESSOA;PB;DROGASIL; 30349803          ;10.245.217.12
3234;1472;ALTAMIRA 1;AVENIDA TANCREDO NEVES, 2465 , CEP - 68372574;PREMEM;ALTAMIRA;PA;DROGASIL; 31910897          ;10.245.222.12
3235;1468;JUNDIAI 14;AVENIDA SÃO PAULO, 1588 , CEP - 13202610;VL ARENS II;JUNDIAÍ;SP;DROGASIL; 48080165          ;10.245.218.12
3236;1469;JUNDIAI 15;RUA OSWALDO CRUZ, 232 , CEP - 13218010;PTE S JOÃO;JUNDIAÍ;SP;DROGASIL; 48165834          ;10.245.219.12
3237;1471;TS MQ PARANAGUA 1;ALAMEDA PARNAIBA, 2021 , CEP - 64002475;MARQUES;TERESINA;PI;DROGASIL; 33055008          ;10.245.221.12
3238;1470;VARGINHA 2;JOÃO PESSOA, 65 , CEP - 37014200;CENTRO;VARGINHA;MG;DROGASIL;(35) 36061534          ;10.245.220.12
3239;1155;PA MENINO DEUS B;RUA SILVEIRO, 221 , CEP - 90850000;MEN DEUS;PORTO ALEGRE;RS;RAIA; 30844509          ;192.203.155.12
3240;1156;FRANCA G;AVENIDA HUGO BETARELLO, S/N , CEP - 14403219;ESPLANADA PRIMO MENEGHETTI;FRANCA;SP;RAIA; 37037145          ;10.144.156.12
3241;1475;FT ALDEOTA 8;AVENIDA SENADOR VIRGÍLIO TÁVORA, 2201 , CEP - 60170251;D TORRES;FORTALEZA;CE;DROGASIL; 35123635          ;10.245.225.12
3242;1157;RJ VILA VALQUEIRE A;RUA LUIZ BELTRÃO, 433 , CEP - 21321230;VL VALQUEIRE;RIO DE JANEIRO;RJ;RAIA; 33980656          ;192.203.157.12
3243;1158;S JOSE PINHAIS C;RUA JOINVILLE, 3052 , CEP - 83020000;S PEDRO;SAO JOSE DOS PINHAIS;PR;RAIA; 31463271          ;192.203.158.12
3244;1159;BH CAICARAS A;AVENIDA PRESIDENTE CARLOS LUZ 3001, 3001 , CEP - 31250900;CAIÇARAS;BELO HORIZONTE;MG;RAIA; 34157975          ;10.144.159.12
3246;1476;ANAPOLIS 7;AVENIDA PB 1, S/N , CEP - 75093670;PARQUE BRASÍLIA 2ª ETAPA;ANÁPOLIS;GO;DROGASIL; 33174481          ;10.245.226.12
3247;1477;INHUMAS 1;RUA ANTONIO MARQUES PALMEIRA, S/N , CEP - 75400528;CENTRO;INHUMAS;GO;DROGASIL; 35142014          ;10.245.227.12
3248;1478;ITAUNA 2;RUA ANTÔNIO CORRADI, 130 , CEP - 35680353;CERQUEIRA LIMA;ITAÚNA;MG;DROGASIL; 32421684          ;10.245.228.12
3249;1479;ITATIBA 2;AVENIDA DA SAUDADE, S/N , CEP - 13253000;JD TEREZA;ITATIBA;SP;DROGASIL; 25707090          ;10.245.229.12
3250;1480;ARAGUAINA 2;AVENIDA FILADELFIA, S/N , CEP - 77808633;BEIRA LAGO;ARAGUAINA;TO;DROGASIL; 34142106          ;10.245.230.12
3251;1161;CT SITIO CERCADO A;RUA IZAAC FERREIRA DA CRUZ, 4671 , CEP - 81910000;SIT CERCADO;CURITIBA;PR;RAIA; 30772742          ;192.203.161.12
3252;1481;UBERLANDIA 20;AVENIDA MONSENHOR EDUARDO, 2210 , CEP - 38402253;M HELENA;UBERLÂNDIA;MG;DROGASIL; 32381639          ;10.245.231.12
3253;1482;PETROLINA 4;AVENIDA DAS NACOES, 68 , CEP - 56306260;GERCINO COELHO;PETROLINA;PE;DROGASIL; ;10.245.232.12
3254;1483;BRAGANCA 1;AVENIDA NAZEAZENO FERREIRA, S/N , CEP - 68600000;CENTRO;BRAGANÇA;PA;DROGASIL; 34252699          ;10.245.233.12
3258;1162;STANA LIVRAMENTO A;AVENIDA ALMIRANTE TAMANDARE, 2246 , CEP - 97573502;CENTRO;SANTANA DO LIVRAMENTO;RS;RAIA; 32423633          ;192.203.162.12
3259;1163;SAPIRANGA A;RUA GETULIO VARGAS, 150 , CEP - 93800210;CENTRO;SAPIRANGA;RS;RAIA; 11111111          ;192.203.163.12
3260;1164;SP LIMAO B;PRAÇA DELEGADO AMOROSO NETO, 09 , CEP - 02518050;JARDIM DAS LARANJEIRAS;SAO PAULO;SP;RAIA;(11) 932404360         ;10.144.164.12
3261;1489;PARNAIBA 1;AVENIDA DEPUTADO PINHEIRO MACHADO, 535 , CEP - 64204305;R VELOSO;PARNAIBA;PI;DROGASIL; 33235261          ;10.245.239.12
3262;1485;BALSAS 1;RUA COELHO NETO, 762 , CEP - 65800000;CENTRO;BALSAS;MA;DROGASIL; 35414140          ;10.245.235.12
3263;1486;MN ADRIANOPOLIS 1;RUA BELO HORIZONTE, 299 , CEP - 69057060;ADRIANÓPOLIS;MANAUS;AM;DROGASIL;(92) 992327726         ;10.245.236.12
3264;1488;RIO VERDE 5;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA, S/N , CEP - 75909080;ST M SOL;RIO VERDE;GO;DROGASIL; 21421040          ;10.245.238.12
3265;1484;SP VL LEOPOLDINA 3;RUA CORDILHEIRAS, 134 , CEP - 05085010;B ALIANÇA;SAO PAULO;SP;DROGASIL; 57857253          ;10.245.234.12
3266;1165;BH ALTO BARROCA A;RUA CAMPOS ELÍSEOS, 898 , CEP - 30431038;AT BARROCA;BELO HORIZONTE;MG;RAIA; 35667005          ;10.144.165.12
3267;1166;RJ ILH GOVERNADOR D;RUA TENENTE CLETO CAMPELO, 625 , CEP - 21921025;COCOTÁ;RIO DE JANEIRO;RJ;RAIA; 2143-4797         ;192.203.166.12
3268;1167;ARARAS C;AVENIDA ROMANA OMETTO, 17 , CEP - 13603004;JD CÂNDIDA;ARARAS;SP;RAIA; 33523003          ;10.144.167.12
3269;1487;FT VILA VELHA 1;RUA CARIÚS, 820 , CEP - 60347075;VL VELHA;FORTALEZA;CE;DROGASIL; 30364298          ;10.245.237.12
3270;1490;UBERABA 12;AVENIDA NOSSA SENHORA DO DESTERRO, 1070 , CEP - 38082025;JD ESPLANADA;UBERABA;MG;DROGASIL;(34) 30250883          ;10.245.240.12
3271;1491;MC PRADO 1;AVENIDA SIQUEIRA CAMPOS, 3800 , CEP - 57010000;PRADO;MACEIO;AL;DROGASIL; 30259633          ;10.245.241.12
3272;1492;MORRINHOS 1;RUA PARA, 920 , CEP - 75650000;CENTRO;MORRINHOS;GO;DROGASIL; 34135100          ;10.245.242.12
3274;1168;TOLEDO C;AVENIDA SENADOR ATTILIO FONTANA, 5676 , CEP - 85901200;CENTRO;TOLEDO;PR;RAIA; 30540571          ;192.203.168.12
3275;1169;CT CID INDUSTRIAL A;RUA PEDRO GUSSO, 1460 , CEP - 81310300;CIDADE INDUSTRIAL;CURITIBA;PR;RAIA; 30769850          ;192.203.169.12
3276;1493;ITUMBIARA 3;AVENIDA SANTOS DUMONT, 1059 , CEP - 75530275;ST STOS DUMONT;ITUMBIARA;GO;DROGASIL; 34304303          ;10.245.243.12
3277;1494;OSASCO 14;RUA MARIA QUINTINA DOS SANTOS, 796 , CEP - 06122190;PESTANA;OSASCO;SP;DROGASIL; 43251279/46206703 ;10.245.244.12
3278;1495;ITAPETININGA 3;RUA PADRE ALBUQUERQUE, 1191 , CEP - 18200075;CENTRO;ITAPETININGA;SP;DROGASIL; 35371712          ;10.245.245.12
3279;1170;ITU D;RUA PAULO EDUARDO XAVIER DE TOLEDO, 567 , CEP - 13304240;S LUIZ;ITU;SP;RAIA; 71544673          ;10.144.170.12
3280;1496;GOV VALADARES 4;RUA MARECHAL FLORIANO, 1556 , CEP - 35010141;CENTRO;GOVERNADOR VALADARES;MG;DROGASIL;(33) 32039830          ;10.245.246.12
3281;1171;BH NOVA FLORESTA A;RUA SÃO JULIÃO, 15 , CEP - 31140230;N FLORESTA;BELO HORIZONTE;MG;RAIA; 35669619          ;10.144.171.12
3282;1172;RJ MEIER D;RUA ARISTIDES CAIRE, 299 , CEP - 20775090;MÉIER;RIO DE JANEIRO;RJ;RAIA; 00000000          ;192.203.172.12
3283;1497;MN PQ 10 NOVEMBRO 2;RUA ALEXANDRE MAGNO, 19 , CEP - 69054723;PRQ 10 NOVEMBRO;MANAUS;AM;DROGASIL; 30211040          ;10.245.247.12
3284;1498;MN ALVORADA 1;RUA BRUXELAS, 20 , CEP - 69045260;PLANALTO;MANAUS;AM;DROGASIL; 33084139          ;10.245.248.12
3285;1173;PA MENINO DEUS C;AVENIDA PRAIA DE BELAS, 1181 , CEP - 90110001;PR BELAS;PORTO ALEGRE;RS;RAIA;(51) 33779259          ;192.203.173.12
3286;1174;PA CENTRO B;RUA DUQUE DE CAXIAS, 907 , CEP - 90010282;C HISTÓRICO;PORTO ALEGRE;RS;RAIA;(51) 32123759          ;192.203.174.12
3287;1499;SP SACOMA 2;RUA ALENCAR ARARIPE, 715 , CEP - 04253000;SACOMÃ;SAO PAULO;SP;DROGASIL; 20614891          ;10.245.249.12
3288;1500;SP SAPOPEMBA 4;AV MANUEL PIMENTEL, 272e278 , CEP - 03983020;JARDIM PLANALTO;SAO PAULO;SP;DROGASIL; 22692072          ;10.246.0.12
3289;1501;ASSIS 4;AVENIDA PROFESSOR JOSÉ BOLFARINI, 693 , CEP - 19815530;JD MORUMBI;ASSIS;SP;DROGASIL;(18) 33239107          ;10.246.1.12
3290;1502;SUMARE 5;RUA JOAQUIM FERREIRA GOMES, 11 , CEP - 13171120;JD MARCHISSOLO;SUMARÉ;SP;DROGASIL; 38837261          ;10.246.2.12
3292;1176;NITEROI P;ESTRADA CAETANO MONTEIRO, S/N , CEP - 24320570;BADU;NITEROI;RJ;RAIA; 26161551          ;192.203.176.12
3293;1177;SAO SEBASTIAO B;AVENIDA DR MANOEL HIPOLITO DO REGO, 1045 , CEP - 11604710;PORTAL DA OLARIA;SAO SEBASTIAO;SP;RAIA; ;192.203.177.12
3294;1178;PASSO FUNDO C;RUA MOROM, 1365 , CEP - 99010031;CENTRO;PASSO FUNDO;RS;RAIA;(54) 33138478          ;192.203.178.12
3295;7025;PL CE RAIA FL2884;AVENIDA I, 101 , CEP - 61900410;JEREISSATI I;MARACANAÚ;CE;RAIA; ;0.0.0.0
3298;7028;PL PE RAIA FL2175;RUA SÃO SEBASTIÃO, 149 , CEP - 54410500;PIEDADE;JABOATÃO DOS GUARARAPES;PE;RAIA; ;0.0.0.0
3301;1510;IPATINGA 3;RUA DOM PEDRO II, 220 , CEP - 35162399;C NOBRE;IPATINGA;MG;DROGASIL; 36172846          ;10.246.10.12
3302;1511;MN PQ 10 NOVEMBRO 3;AVENIDA MARIO YPIRANGA, 3360 , CEP - 69055030;PARQUE 10 DE NOVEMBRO;MANAUS;AM;DROGASIL; 92384627          ;10.246.11.12
3303;1512;MN N S DAS GRACAS 1;AVENIDA DJALMA BATISTA, 700 , CEP - 69053000;N SRA GRAÇAS;MANAUS;AM;DROGASIL; 30278872          ;10.246.12.12
3304;1179;SAO CARLOS E;AVENIDA SÃO CARLOS, 2461 , CEP - 13560011;CENTRO;SAO CARLOS;SP;RAIA; 96193614          ;10.144.179.12
3305;1180;S JOSE RIO PRETO R;RUA RUBIÃO JÚNIOR, 2625 , CEP - 15010090;CENTRO;SAO JOSE DO RIO PRETO;SP;RAIA; ;10.144.180.12
3307;1182;S JOSE RIO PRETO T;AVENIDA DOUTOR ALBERTO ANDALO, 3651 , CEP - 15015000;CENTRO;SAO JOSE DO RIO PRETO;SP;RAIA; 96241292          ;192.203.182.12
3308;1183;ARARAS D;AVENIDA DONA RENATA, 3700 , CEP - 13600001;CENTRO;ARARAS;SP;RAIA; 35420752          ;10.144.183.12
3311;1505;GO ST BUENO 6;AVENIDA T 7, 788 , CEP - 74210260;ST BUENO;GOIÂNIA;GO;DROGASIL; 32512304          ;10.246.5.12
3312;1506;GO ST BUENO 7;AVENIDA 85, 3022 , CEP - 74223010;ST BUENO;GOIÂNIA;GO;DROGASIL; ;10.246.6.12
3313;1507;GO ST BUENO 8;AVENIDA T 63, 1254 , CEP - 74230100;ST BUENO;GOIÂNIA;GO;DROGASIL; 32553712          ;10.246.7.12
3314;1508;GO ST MARISTA 4;RUA 90, 754 , CEP - 74180015;SETOR MARISTA;GOIÂNIA;GO;DROGASIL; 32185564          ;10.246.8.12
3315;1509;GO ST OESTE 5;AVENIDA REPÚBLICA DO LÍBANO, 2306 , CEP - 74115030;ST OESTE;GOIÂNIA;GO;DROGASIL;(62) 32157379/32151031 ;10.246.9.12
3316;1184;PIRACICABA K;RUA GOVERNADOR PEDRO DE TOLEDO, 1244 , CEP - 13400063;CENTRO;PIRACICABA;SP;RAIA; 34345959          ;192.203.184.12
3319;1187;RIO CLARO G;AVENIDA 3, 401 , CEP - 13500391;CENTRO;RIO CLARO;SP;RAIA; 35243475          ;10.144.187.12
3320;1513;PRESID PRUDENTE 13;AVENIDA WASHINGTON LUIZ, 1362 , CEP - 19015150;CENTRO;PRESIDENTE PRUDENTE;SP;DROGASIL; 97430160          ;10.246.13.12
3321;1514;GO ST CENTRAL 3;RUA 10, 209 , CEP - 74030010;ST CENTRAL;GOIÂNIA;GO;DROGASIL; 32252173          ;10.246.14.12
3322;1515;GO ST AEROPORTO 4;AVENIDA ANHANGUERA, 6426 , CEP - 74075010;ST AEROPORTO;GOIÂNIA;GO;DROGASIL; 35246584          ;10.246.15.12
3323;1516;CG JD DOS ESTADOS 6;RUA PADRE JOÃO CRIPPA, 1232 , CEP - 79002390;CENTRO;CAMPO GRANDE;MS;DROGASIL; 30425712          ;10.246.16.12
3324;1517;CG SAO BENTO 1;RUA JERONYMA PAES BENJAMIM, QD 14 , CEP - 79004474;JD S BENTO;CAMPO GRANDE;MS;DROGASIL; 30299881          ;10.246.17.12
3325;1518;CG JD DS ESTADOS 7;AVENIDA MATO GROSSO, 1944 , CEP - 79020201;JD ESTADOS;CAMPO GRANDE;MS;DROGASIL; 30285583          ;10.246.18.12
3326;1188;NITEROI Q;RUA SANTA ROSA, 165 , CEP - 24240225;STA ROSA;NITERÓI;RJ;RAIA; 23916900          ;192.203.188.12
3327;1189;FRANCA H;RUA REYNALDO CHIOCA, 858 , CEP - 14403085;PRQ PROGRESSO;FRANCA;SP;RAIA; 34037571          ;10.144.189.12
3328;1190;CT PILARZINHO A;RUA CLAUDIO MANOEL DA COSTA, 833 , CEP - 80520590;B RETIRO;CURITIBA;PR;RAIA;(41) 37981177          ;192.203.190.12
3329;1519;SOROCABA 15;RUA CORONEL NOGUEIRA PADILHA, 1858 , CEP - 18020003;VL HORTÊNCIA;SOROCABA;SP;DROGASIL;(15) 32279843          ;10.246.19.12
3330;1191;TORRES A;AV GENERAL OSORIO, 132 , CEP - 95560000;CENTRO;TORRES;RS;RAIA; 21442800          ;192.203.191.12
3331;1192;OSORIO A;RUA MACHADO DE ASSIS, 539 , CEP - 95520000;CENTRO;OSORIO;RS;RAIA; 36637065          ;192.203.192.12
3332;1193;ANGRA DOS REIS B;RUA CORONEL CARVALHO, 171 , CEP - 23900315;CENTRO;ANGRA DOS REIS;RJ;RAIA; 33644636          ;192.203.193.12
3333;1520;PICOS 1;RUA CORONEL ANTONIO RODRIGUES, 269 , CEP - 64600028;CENTRO;PICOS;PI;DROGASIL; 34225135          ;10.246.20.12
3334;1521;PRIMAVERA LESTE 1;AVENIDA PORTO ALEGRE, 797 , CEP - 78850001;CIDADE PRIMAVERA I;PRIMAVERA DO LESTE;MT;DROGASIL; 34988283          ;10.246.21.12
3335;1194;STA CRUZ DO SUL B - IMIGRANTES;RUA MARECHAL DEODORO, 04 , CEP - 96810022;CENTRO;SANTA CRUZ DO SUL;RS;RAIA; 39025718          ;192.203.194.12
3336;1195;SAO CARLOS F;RUA DOUTOR PROCOPIO TOLEDO MALTA, 122 , CEP - 13563002;LOT HAB S CARLOS 1;SAO CARLOS;SP;RAIA; 33076745          ;10.144.195.12
3337;1196;MARINGA N;AVENIDA DOUTOR ALEXANDRE RASGULAEFF, 6280 , CEP - 87023033;JD IMPERIAL II;MARINGÁ;PR;RAIA; ;192.203.196.12
3338;1197;BH CAMARGOS A;RUA GENTIL PORTUGAL DO BRASIL, 43 , CEP - 30520540;CAMARGOS;BELO HORIZONTE;MG;RAIA; 98734873          ;10.144.197.12
3339;1522;GO ST U MAGALHAES 1;AVENIDA RIO BRANCO, 258 , CEP - 74565070;ST U MAGALHÃES;GOIÂNIA;GO;DROGASIL; 32101977          ;10.246.22.12
3340;1523;FT JOQUEI CLUBE 1;AVENIDA AUGUSTO DOS ANJOS, 352 , CEP - 60520022;J CLUBE;FORTALEZA;CE;DROGASIL; 30138166          ;10.246.23.12
3341;1524;SP JARAGUA 1;RUA FRIEDRICH VON VOITH, 800 , CEP - 02995000;JD S JOAO (JARAGUA);SAO PAULO;SP;DROGASIL; 2502-6723         ;10.246.24.12
3343;1199;BLUMENAU F;RUA AMAZONAS, 3003 , CEP - 89022006;GARCIA;BLUMENAU;SC;RAIA; 32096861          ;192.203.199.12
3344;1525;DF TAGUATINGA 11;ST. D NORTE QND 38, S/N , CEP - 72120380;TAGUATINGA, BRASÍLIA;BRASÍLIA;DF;DROGASIL; 32637000          ;10.246.25.12
3345;1526;RC BOA VIAGEM 16;RUA ANTÔNIO FALCÃO, 430 , CEP - 51020240;B VIAGEM;RECIFE;PE;DROGASIL; 37872789          ;10.246.26.12
3347;1527;SL VINHAIS 1;AVENIDA JERÔNIMO DE ALBUQUERQUE MARANHÃO, 05 , CEP - 65074199;VINHAIS;SAO LUIS;MA;DROGASIL; 30890740          ;10.246.27.12
3348;1200;PORTO UNIAO A;RUA MATOS COSTA, 131 , CEP - 89400000;CENTRO;PORTO UNIÃO;SC;RAIA; 35223430          ;192.203.200.12
3349;1201;RIBEIRAO PRETO X;RUA CORONEL AMÉRICO BATISTA, 1460 , CEP - 14060060;IPIRANGA;RIBEIRAO PRETO;SP;RAIA; 31030753          ;10.144.201.12
3350;1202;GUARUJA G;RUA CÉSAR FERRAGI, 179 , CEP - 11420140;VL ALZIRA;GUARUJÁ;SP;RAIA;(13) 33898774          ;10.144.202.12
3351;1528;S SEBA DO PARAISO 2;AVENIDA ANGELO CALAFIORI, 423 , CEP - 37950001;LAGOINHA;SAO SEBASTIAO DO PARAISO;MG;DROGASIL;(35) 98474395          ;10.246.28.12
3352;1529;GUARULHOS 7;AVENIDA JOSE BRUMATTI, 3423 , CEP - 07161095;JARDIM IV CENTENARIO;GUARULHOS;SP;DROGASIL;(11) 2466-3523         ;10.246.29.12
3354;1530;HORTOLANDIA 4;RUA CARLOS DRUMMOND DE ANDRADE, 594 , CEP - 13188249;JD AMANDA II;HORTOLÂNDIA;SP;DROGASIL; 38657197          ;10.246.30.12
3355;1204;BH VENDA NOVA A;AVENIDA CRISTIANO MACHADO, 11833 , CEP - 31744007;VL CLORIS;BELO HORIZONTE;MG;RAIA; 30474005          ;10.144.204.12
3356;1531;ANANINDEUA 4;TRAVESSA WE-72(CIDADE NOVA VI), 661 , CEP - 67140000;CIDADE NOVA;ANANINDEUA;PA;DROGASIL; 11111111          ;10.246.31.12
3357;1532;PV SAO CRISTOVAO 1;AVENIDA CARLOS GOMES, 2566 , CEP - 76804022;S CRISTÓVÃO;PORTO VELHO;RO;DROGASIL; 32211693          ;10.246.32.12
3358;1533;VALPARAISO GO 1;Quadra 13, lote 1, loja 5, S/N , CEP - 72876039;Valparaiso 1;VALPARAÍSO DE GOIÁS;GO;DROGASIL;(61) 30559085/998519630;10.246.33.12
3359;1534;CAMPO LIMPO PTA 1;AVENIDA ADHERBAL DA COSTA MOREIRA, 523 , CEP - 13231190;JARDIM AMÉRICA;CAMPO LIMPO PAULISTA;SP;DROGASIL;(11) 48127577          ;10.246.34.12
3360;1205;CT BAIRRO ALTO A;RUA ALBERICO FLORES BUENO, 1400 , CEP - 82820070;B ALTO;CURITIBA;PR;RAIA; ;192.203.205.12
3361;1206;ILHABELA A;AVENIDA PRINCESA ISABEL, 1128 , CEP - 11630000;PEREQUE;ILHABELA;SP;RAIA; 38961289          ;10.144.206.12
3362;1207;BH DOM JOAQUIM A;RUA MARIA FERREIRA DA SILVA, 400 , CEP - 31920350;F DIAS;BELO HORIZONTE;MG;RAIA;(31) 33274008          ;10.144.207.12
3363;1535;RC VASCO DA GAMA 1;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 6350 , CEP - 52081000;V GAMA;RECIFE;PE;DROGASIL; ;10.246.35.12
3366;1538;PV OLARIA 1;JOSE BONIFACIO, 1566 , CEP - 76801318;OLARIA;PORTO VELHO;RO;DROGASIL; 32210856          ;10.246.38.12
3367;1539;REDENCAO 1;AVENIDA MINISTRO OSCAR TOMPSON, S/N , CEP - 68552140;M PAZ;REDENCAO;PA;DROGASIL; 34243002          ;10.246.39.12
3368;1208;MATAO B;RUA SINHARINHA FROTA, 1548 , CEP - 15990500;N MATÃO;MATÃO;SP;RAIA;(16) 999758195         ;10.144.208.12
3369;1209;LEME B;AVENIDA BENEDITO LANDGRAF, 151 , CEP - 13610010;CENTRO;LEME;SP;RAIA;(19) 35738563          ;10.144.209.12
3370;1540;SINOP 2;AVENIDA JOSÉ TEOBALDO ANSCHAU, 196 , CEP - 78556350;RES N SRA APARECIDA;SINOP;MT;DROGASIL; 30151252          ;10.246.40.12
3371;1541;IMPERATRIZ 4;AVENIDA BERNARDO SAYÃO, 1786 , CEP - 65907000;N IMPERATRIZ;IMPERATRIZ;MA;DROGASIL;(99) 30733449          ;10.246.41.12
3372;1542;CACOAL 1;AVENIDA PORTO VELHO, 2386 , CEP - 76963878;CENTRO;CACOAL;RO;DROGASIL; 34412745          ;10.246.42.12
3373;1543;AJ AEROPORTO 1;AVENIDA MELÍCIO MACHADO, 580 , CEP - 49038443;AEROPORTO;ARACAJU;SE;DROGASIL; ;10.246.43.12
3374;1544;CP REC DO SOL 1;RUA DOUTOR RENATO LUIZ PEREIRA DA SILVA, 36 , CEP - 13056632;REC SOL II;CAMPINAS;SP;DROGASIL; 37260602          ;10.246.44.12
3375;1545;FT L CAVALCANTE 1;AV CORONEL JOSE PHILOMENO GOMES, 145 , CEP - 60813820;ENGENHEIRO LUCIANO CAVALCANTE;FORTALEZA;CE;DROGASIL; 31222598          ;10.246.45.12
3376;1546;SL ANIL 1;AVENIDA GUAJAJARAS, 320 , CEP - 65056045;S BERNARDO;SAO LUIS;MA;DROGASIL; 31814112          ;10.246.46.12
3377;1547;UBERLANDIA 21;RUA BEIJOS-BRANCOS, 165 , CEP - 38412204;C JARDIM;UBERLÂNDIA;MG;DROGASIL;(34) 33055116          ;10.246.47.12
3379;1210;STA RT PS QUATRO A;AVENIDA SEVERINO MEIRELLES, 1237 , CEP - 13670000;CENTRO;SANTA RITA DO PASSA QUATRO;SP;RAIA;(19) 35846261          ;10.144.210.12
3380;1549;MOGI DAS CRUZES 6;AVENIDA FRANCISCO RODRIGUES FILHO, 1891 , CEP - 08773380;VL MOGILAR;MOGI DAS CRUZES;SP;DROGASIL;( ) 43925840          ;10.246.49.12
3381;1550;ITAPETININGA 4;AVENIDA 5 DE NOVEMBRO, 450 , CEP - 18207320;VL NASTRI;ITAPETININGA;SP;DROGASIL; 32753188          ;10.246.50.12
3382;1551;CACERES 1;RUA PADRE CASSEMIRO, 2059 , CEP - 78210182;CENTRO;CACERES;MT;DROGASIL; 32234291          ;10.246.51.12
3385;1552;FT MONTESE 1;RUA DESEMBARGADOR PRAXEDES, 933 , CEP - 60416172;MONTESE;FORTALEZA;CE;DROGASIL; 30937020          ;10.246.52.12
3386;1553;MARANGUAPE 1;RUA DOMINGOS FACANHA, 56 , CEP - 61940140;CENTRO;MARANGUAPE;CE;DROGASIL; 30391434          ;10.246.53.12
3387;1554;COLATINA 2;AVENIDA SÍLVIO AVIDOS, 1118 , CEP - 29703132;S SILVANO;COLATINA;ES;DROGASIL; ;10.246.54.12
3390;1214;JOINVILLE I;RUA DAS CEGONHAS, 658 , CEP - 89224150;JD IRIRIÚ;JOINVILLE;SC;RAIA; 32029325          ;192.203.214.12
3391;1215;ARARAQUARA H;AVENIDA PADRE FRANCISCO SALES COLTURATO, 1419 , CEP - 14801250;CENTRO;ARARAQUARA;SP;RAIA;(16) 33578699/999754657;10.144.215.12
3392;1555;SL OLHO D AGUA 1;AV DOS HOLANDESES, 3 , CEP - 65065180;OLHO D'ÁGUA;SAO LUIS;MA;DROGASIL; 00000000          ;10.246.55.12
3393;1556;GUARULHOS 8;RUA LEANDRA DELLAFINA DAMIANI, 26 , CEP - 07122180;JD B CLIMA;GUARULHOS;SP;DROGASIL; ;10.246.56.12
3394;1557;BL MARAMBAIA 1;AVENIDA TAVARES BASTOS, 1456 , CEP - 66615005;MARAMBAIA;BELÉM;PA;DROGASIL; 32281854          ;10.246.57.12
3396;1217;SALTO B;AVENIDA JOSÉ MARIA MARQUES DE OLIVEIRA, 290 , CEP - 13327300;VL NORMA;SALTO;SP;RAIA; 46024883          ;10.144.217.12
3397;1558;CARATINGA 1;PRAÇA CESÁRIO ALVIM, 276 , CEP - 35300036;CENTRO;CARATINGA;MG;DROGASIL; 00000000          ;10.246.58.12
3398;1559;AGUAS LINDAS GO 2;QUADRA 12, S/N , CEP - 72915138;JARDIM BRASILIA;AGUAS LINDAS DE GOIAS;GO;DROGASIL; 36131853          ;10.246.59.12
3400;1561;SP PEDREIRA 1;AVENIDA DAS GAROUPAS, 147 , CEP - 04473100;BAL S FRANCISCO;SAO PAULO;SP;DROGASIL; 35399672          ;10.246.61.12
3401;1562;FT JOQUEI CLUBE 2;RUA PROFESSOR MANOEL LOURENÇO, 21 , CEP - 60510107;J CLUBE;FORTALEZA;CE;DROGASIL; ;10.246.62.12
3403;1563;SP VILA MASCOTE 3;AVENIDA SANTA CATARINA, 1225 , CEP - 04378300;VL MASCOTE;SAO PAULO;SP;DROGASIL;(11) 56786494          ;10.246.63.12
3404;1564;S BERNARDO CAMPO 14;AVENIDA GETÚLIO VARGAS, 1231 , CEP - 09751251;B NEVES;SAO BERNARDO DO CAMPO;SP;DROGASIL; 00000000          ;10.246.64.12
3405;1565;CP JD N C ELISEOS 1;AVENIDA RUY RODRIGUEZ, 873 , CEP - 13060192;JD N C ELÍSEOS;CAMPINAS;SP;DROGASIL;(19) 37231999          ;10.246.65.12
3406;1566;MN N S DAS GRACAS 2;RUA ACRE, 22 , CEP - 69053130;N SRA GRAÇAS;MANAUS;AM;DROGASIL; 30238175          ;10.246.66.12
3407;1567;JUAZEIRO 2;AVENIDA DOUTOR ADOLFO VIANA, 418 , CEP - 48903371;ALAGADICO;JUAZEIRO;BA;DROGASIL; 00000000          ;10.246.67.12
3408;1568;PORTO SEGURO 1;AVENIDA DOS NAVEGANTES, 311 , CEP - 45810000;CENTRO;PORTO SEGURO;BA;DROGASIL; ;10.246.68.12
3409;1569;MARACANAU 2;RUA JOÃO DE ALENCAR, 113 , CEP - 61900150;CENTRO;MARACANAÚ;CE;DROGASIL; 30391434          ;10.246.69.12
3410;1570;DOURADOS 4;RUA MONTE ALEGRE, 1345 , CEP - 79825040;VL PROGRESSO;DOURADOS;MS;DROGASIL; 30331824          ;10.246.70.12
3411;1571;CAMPINA GRANDE 4;RUA JOAO QUIRINO, 598 , CEP - 58410370;CATOLE;CAMPINA GRANDE;PB;DROGASIL; 30886629          ;10.246.71.12
3412;1572;PATOS 1;PRAÇA PRESIDENTE GETÚLIO VARGAS, 16 , CEP - 58700230;CENTRO;PATOS;PB;DROGASIL; 34221098          ;10.246.72.12
